,0th model,1th model,2th model,3th model,4th model,5th model,6th model,7th model,8th model,9th model,10th model,y_test
154,47296.85,46355.215,68908.164,123589.23,54417.668,43479.316,55078.527,55776.484,49381.27,36773.758,43890.582,26800.0
155,55832.32,51265.246,82747.72,140837.31,63027.67,47478.01,60419.02,60626.37,51484.008,41962.203,47519.99,40600.0
156,58703.76,51927.906,89473.945,147710.97,65678.2,47029.32,61524.46,60563.246,48922.758,43251.39,46999.76,52300.00000000001
157,55983.18,48667.805,89457.79,145982.14,63274.777,42214.043,58533.61,56845.582,41977.105,40792.023,42672.94,36200.0
158,47513.105,42266.434,82561.06,135226.31,56196.46,33446.848,50387.426,49445.242,31311.732,35268.207,34679.035,29899.999999999996
159,33600.14,34144.664,67384.93,111376.125,44253.195,22143.979,36533.695,37631.586,18916.107,27758.043,23622.584,41400.0
160,17034.193,26269.135,43514.23,71619.84,28276.04,11094.695,20393.338,22768.0,8322.0205,19590.195,11974.106,30500.000000000004
161,3493.8638,20350.256,17824.732,28179.74,12418.519,3244.9814,9034.52,9655.889,2288.6409,12098.806,3608.3462,19300.0
162,-2712.5962,16919.994,3763.257,4430.4404,2402.309,-501.539,5342.65,2073.8147,125.194786,6285.892,84.9196,8300.0
163,-2814.6077,15304.266,2126.204,-1100.1547,-923.513,-1519.3036,5145.232,-1083.7399,-610.9313,2542.7153,-606.53015,700.0000000000001
164,-939.45575,14414.172,1772.0128,-3227.7607,-1556.4502,-1555.7699,5068.8574,-2427.389,-1070.6167,633.61646,-608.0266,0.0
165,-36.717686,13449.133,821.29474,-2764.198,-1987.2542,-1612.9503,4831.35,-2990.064,-1427.0073,14.170399,-622.85406,0.0
166,-1288.1671,12161.75,676.95776,423.72443,-2400.5432,-1963.4624,4197.914,-2925.4446,-1731.3385,326.4235,-818.68365,0.0
167,-4084.12,10883.14,88.15293,2979.6665,-2567.9553,-2038.2686,2652.4106,-2096.269,-1225.21,1758.0443,-1117.5483,0.0
168,1905.1986,1475.7722,2220.8057,2921.0613,2513.4866,1701.6702,3764.3962,-930.4128,468.74503,1944.3798,-617.5039,0.0
169,559.19086,-700.7743,1660.0061,1286.3787,4717.536,1212.6606,4302.2847,-847.13885,-687.3505,1478.2272,802.4928,0.0
170,421.87283,-469.0104,850.86456,626.6091,3813.9312,807.0067,3422.0293,-323.6735,-474.08853,1889.8728,1601.7272,0.0
171,188.91696,190.97122,4.810363,295.2093,2262.5938,556.3263,2356.9255,469.1831,-270.10568,1837.3729,2166.2783,0.0
172,-839.39,493.44214,-744.1987,36.45023,820.8591,577.7058,1309.3665,1144.82,49.070667,1445.372,2647.5981,0.0
173,-1625.4022,1119.6816,-823.7879,-295.26373,-328.19708,1163.0992,396.1357,1512.5505,843.05896,1440.2852,3263.3137,0.0
174,1306.0526,4097.8423,1608.9415,245.49446,-443.16757,2769.935,131.94598,2062.6184,2353.8237,2927.2534,4732.2627,2600.0
175,12194.608,11294.56,9315.1045,4636.3975,2486.2092,5782.082,1591.8259,3784.1567,4567.4966,6876.203,8419.76,4500.0
176,31875.633,22290.932,23265.004,15690.502,10493.38,10111.11,5712.4067,7207.631,7171.237,13367.6045,15368.435,6900.0
