,0th model,1th model,2th model,3th model,4th model,5th model,6th model,7th model,8th model,9th model,10th model,y_test
85,0.0,0.0,58373.797,0.0,19109.26,36678.688,0.0,52375.945,59615.023,56292.48,0.0,4400.0
86,0.0,0.0,51072.754,0.0,16046.425,31147.625,0.0,44999.617,51138.67,49444.27,0.0,2500.0
87,0.0,0.0,39430.035,0.0,11216.191,23818.395,0.0,35145.867,39709.96,40462.14,0.0,3000.0
88,0.0,0.0,23999.943,0.0,5118.1597,15466.0,0.0,23531.316,26209.266,30159.777,0.0,3699.9999999999995
89,0.0,0.0,5356.9575,0.0,0.0,6890.229,0.0,10939.891,11633.242,19392.549,0.0,300.0
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9100.953,0.0,0.0
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368.12796,0.0,0.0
92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2636.314,0.0,0.0
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.0
103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1220.1403,0.0,6845.587,0.0,5800.0
104,0.0,0.0,17830.637,0.0,962.1382,1746.1527,0.0,17712.162,8848.622,27032.184,0.0,11300.000000000002
105,0.0,0.0,44616.613,0.0,12997.019,17137.744,0.0,33576.17,18472.555,41097.67,0.0,23400.0
106,0.0,0.0,64850.71,0.0,22705.676,29648.96,0.0,46894.01,24614.256,49193.6,0.0,44600.00000000001
107,0.0,0.0,78496.43,0.0,29044.416,38310.555,0.0,56117.215,27172.803,51610.91,0.0,63500.0
108,0.0,0.0,85264.22,0.0,31730.668,42588.473,0.0,60318.984,26371.611,48759.79,0.0,57800.0
109,0.0,0.0,85070.055,0.0,30975.96,42372.68,0.0,59326.312,22671.828,41219.418,0.0,63900.0
110,0.0,0.0,78373.47,0.0,27258.398,37968.543,0.0,53552.79,16711.002,29805.223,0.0,38600.0
111,0.0,0.0,65977.98,0.0,21192.875,30058.824,0.0,43704.906,9249.73,15727.713,0.0,32400.0
112,0.0,0.0,48752.18,0.0,13478.517,19632.826,0.0,30583.912,1131.9031,835.1991,0.0,19400.0
113,0.0,0.0,27501.682,0.0,4890.6475,7894.96,0.0,15084.461,0.0,0.0,0.0,24300.0
114,0.0,0.0,3024.2112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9700.0
115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0
116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1394.9105,0.0,0.0
119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10623.702,0.0,0.0
120,0.0,0.0,1283.869,0.0,0.0,2243.2322,0.0,0.0,0.0,0.0,0.0,0.0
121,0.0,0.0,0.0,0.0,0.0,7.188799,0.0,0.0,0.0,0.0,0.0,0.0
122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0
126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4549.532,0.0,5000.0
127,0.0,0.0,18734.682,0.0,3757.9353,11398.526,0.0,12004.945,9413.194,18375.006,0.0,14500.0
128,0.0,0.0,57931.402,0.0,11875.19,25455.965,0.0,25710.24,27969.844,30633.9,0.0,42800.0
129,0.0,0.0,88278.875,0.0,19199.121,38619.18,0.0,36842.49,43429.395,39696.695,0.0,57800.0
130,0.0,0.0,115509.08,0.0,24681.93,49116.93,0.0,44185.383,54297.855,44809.81,0.0,72500.0
131,0.0,0.0,137560.6,0.0,27724.744,55888.457,0.0,47431.273,59926.9,45874.086,0.0,76200.0
132,0.0,0.0,149573.92,0.0,28145.318,58517.426,0.0,46806.33,60244.02,43234.523,0.0,61500.0
133,0.0,0.0,149902.36,0.0,26073.113,57107.773,0.0,42803.77,55629.61,37499.656,0.0,48100.0
134,0.0,0.0,139150.97,0.0,21849.432,52130.754,0.0,36027.52,46784.81,29413.023,0.0,51699.99999999999
135,0.0,0.0,117973.99,0.0,15962.919,44275.867,0.0,27121.97,34579.582,19795.133,0.0,20400.0
136,0.0,0.0,86596.57,0.0,9019.443,34347.785,0.0,16779.312,19983.44,9548.864,0.0,11100.000000000002
137,0.0,0.0,45395.73,0.0,1731.3582,23227.926,0.0,5811.795,4133.7324,0.0,0.0,8400.0
138,0.0,0.0,0.0,0.0,0.0,11885.412,0.0,0.0,0.0,0.0,0.0,2000.0
139,0.0,0.0,0.0,0.0,0.0,1398.4175,0.0,0.0,0.0,0.0,0.0,1100.0
140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1351.8663,0.0,0.0
144,0.0,0.0,1359.2261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,0.0,0.0,5830.173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,0.0,0.0,4964.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,0.0,0.0,603.45245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0000000000001
150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2179.951,0.0,9100.0
151,0.0,0.0,580.0356,0.0,1616.6149,4564.089,0.0,12840.175,12241.519,23104.48,0.0,13200.0
152,0.0,0.0,12354.595,0.0,8410.378,20197.195,0.0,26341.191,29080.79,41645.758,0.0,20300.0
153,0.0,0.0,26932.98,0.0,14600.169,33839.965,0.0,37437.82,42688.734,55859.49,0.0,28900.0
154,0.0,0.0,41426.25,0.0,19295.338,43954.465,0.0,44655.062,51945.85,64835.57,0.0,26800.0
155,0.0,0.0,53301.906,0.0,21945.336,49770.996,0.0,47474.746,56455.797,68373.86,0.0,40600.0
156,0.0,0.0,60911.25,0.0,22340.756,51127.535,0.0,45957.508,56300.223,66804.93,0.0,52300.00000000001
157,0.0,0.0,63463.91,0.0,20548.564,48325.934,0.0,40436.395,51911.52,60797.414,0.0,36200.0
158,0.0,0.0,60790.0,0.0,16837.686,41987.684,0.0,31327.326,43952.758,51174.453,0.0,29899.999999999996
159,0.0,0.0,53076.746,0.0,11624.069,32930.008,0.0,19043.47,33209.727,38801.918,0.0,41400.0
160,0.0,0.0,40643.87,0.0,5439.934,22096.176,0.0,4019.376,20558.92,24590.797,0.0,30500.000000000004
161,0.0,0.0,23798.531,0.0,0.0,10543.56,0.0,0.0,7030.0825,9625.151,0.0,19300.0
162,0.0,0.0,2804.1904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8300.0
163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0000000000001
164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3668.592,0.0,0.0
168,0.0,0.0,4123.4043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,0.0,0.0,4390.9673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,0.0,0.0,519.29944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4396.7407,0.0,2600.0
175,0.0,0.0,5020.443,0.0,0.0,0.0,0.0,0.0,4428.613,12471.784,0.0,4500.0
