년월일,호기,구분,총량,평균,최대,최소,최대(시간별),최소(시간별),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2018.04.17,1,발전량,5.558,0.232,5.558,0,5.558,5.558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.558,0,0,0,0,0,0,0,0,0
2018.04.18,1,발전량,6.009,0.25,6.009,0,6.009,6.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.009,0,0,0,0,0,0,0,0,0
2018.04.19,1,발전량,5.945,0.248,5.945,0,5.945,5.945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.945,0,0,0,0,0,0,0,0,0
2018.04.20,1,발전량,5.589,0.233,5.589,0,5.589,5.589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.589,0,0,0,0,0,0,0,0,0
2018.04.21,1,발전량,5.418,0.226,5.418,0,5.418,5.418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.418,0,0,0,0,0,0,0,0,0
2018.04.22,1,발전량,1.561,0.065,1.561,0,1.561,1.561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.561,0,0,0,0,0,0,0,0,0
2018.04.23,1,발전량,0.315,0.013,0.315,0,0.315,0.315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.315,0,0,0,0,0,0,0,0,0
2018.04.24,1,발전량,1.145,0.048,1.145,0,1.145,1.145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.145,0,0,0,0,0,0,0,0,0
2018.04.25,1,발전량,6.103,0.254,6.103,0,6.103,6.103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.103,0,0,0,0,0,0,0,0,0
2018.04.26,1,발전량,5.028,0.209,5.028,0,5.028,5.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.028,0,0,0,0,0,0,0,0,0
2018.04.27,1,발전량,5.37,0.224,5.37,0,5.37,5.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.37,0,0,0,0,0,0,0,0,0
2018.04.28,1,발전량,5.783,0.241,5.783,0,5.783,5.783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.783,0,0,0,0,0,0,0,0,0
2018.04.29,1,발전량,5.592,0.233,5.592,0,5.592,5.592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.592,0,0,0,0,0,0,0,0,0
2018.04.30,1,발전량,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018.05.01,1,발전량,5.313,0.221,5.313,0,5.313,5.313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.313,0,0,0,0,0,0,0,0,0
2018.05.02,1,발전량,5.814,0.242,5.814,0,5.814,5.814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.814,0,0,0,0,0,0,0,0,0
2018.05.03,1,발전량,6.016,0.251,6.016,0,6.016,6.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.016,0,0,0,0,0,0,0,0,0
2018.05.04,1,발전량,4.498,0.187,4.498,0,4.498,4.498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.498,0,0,0,0,0,0,0,0,0
2018.05.05,1,발전량,4.879,0.203,4.879,0,4.879,4.879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.879,0,0,0,0,0,0,0,0,0
2018.05.06,1,발전량,0.299,0.012,0.299,0,0.299,0.299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299,0,0,0,0,0,0,0,0,0
2018.05.07,1,발전량,0.68,0.028,0.68,0,0.68,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,0,0,0,0,0,0,0,0,0
2018.05.08,1,발전량,0.238,0.01,0.238,0,0.238,0.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238,0,0,0,0,0,0,0,0,0
2018.05.09,1,발전량,3.968,0.165,3.968,0,3.968,3.968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.968,0,0,0,0,0,0,0,0,0
2018.05.10,1,발전량,4.573,0.191,4.573,0,4.573,4.573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.573,0,0,0,0,0,0,0,0,0
2018.05.11,1,발전량,4.715,0.196,4.715,0,4.715,4.715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.715,0,0,0,0,0,0,0,0,0
2018.05.12,1,발전량,0.852,0.035,0.852,0,0.852,0.852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.852,0,0,0,0,0,0,0,0,0
2018.05.13,1,발전량,4.636,0.193,4.636,0,4.636,4.636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.636,0,0,0,0,0,0,0,0,0
2018.05.14,1,발전량,5.603,0.233,5.603,0,5.603,5.603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.603,0,0,0,0,0,0,0,0,0
